country,iso3,year,Q1,Q2,Q3,Q4
Albania,ALB,1980, -   , -   , -   , -   
Albania,ALB,1981, -   , -   , -   , -   
Albania,ALB,1982, -   , -   , -   , -   
Albania,ALB,1983, -   , -   , -   , -   
Albania,ALB,1984, -   , -   , -   , -   
Albania,ALB,1985, -   , -   , -   , -   
Albania,ALB,1986, -   ,, -   , -   
Albania,ALB,1987, -   , -   ,, -   
Albania,ALB,1988, -   , -   , -   ,
Albania,ALB,1989, -   , -   , -   , -   
Albania,ALB,1990,, -   , -   , -   
Albania,ALB,1991, -   ,, -   , -   
Albania,ALB,1992, -   , -   ,, -   
Albania,ALB,1993, -   , -   , -   ,
Albania,ALB,1994, -   , -   , -   , -   
Albania,ALB,1995,, -   , -   , -   
Albania,ALB,1996, -   ,,"1,148,000","1,151,000"
Albania,ALB,1997,"1,112,000","1,111,000",,"1,107,000"
Albania,ALB,1998,"1,107,000","1,106,000","1,106,000",
Albania,ALB,1999,"1,083,000","1,083,000","1,082,000","1,081,000"
Albania,ALB,2000,,"1,065,000","1,066,000","1,064,000"
Albania,ALB,2001,"1,072,000",,"1,069,000","1,065,000"
Albania,ALB,2002,"918,000","917,000",,"920,000"
Albania,ALB,2003,"926,000","927,000","928,000",
Albania,ALB,2004,"919,000","921,000","922,000","931,000"
Albania,ALB,2005,,"931,000","931,000","932,000"
Albania,ALB,2006,"931,000",,"934,000","935,000"
Albania,ALB,2007,"933,000","933,000",,"939,000"
Albania,ALB,2008,"939,000","966,000","970,000",
Albania,ALB,2009,"900,000","900,000","910,000","910,000"
Albania,ALB,2010,,"915,000","895,000","896,000"
Albania,ALB,2011,"899,000",,"946,000","948,000"
Albania,ALB,2012,"953,000","962,000",,"962,000"
Albania,ALB,2013,"963,000","904,000","873,000",
Albania,ALB,2014,"892,000","928,000","947,000","934,000"
Albania,ALB,2015,,"939,000","1,002,000", -   
Argentina,ARG,1980, -   , -   , -   , -   
Argentina,ARG,1981, -   , -   , -   , -   
Argentina,ARG,1982, -   , -   , -   , -   
Argentina,ARG,1983, -   , -   , -   , -   
Argentina,ARG,1984, -   , -   , -   , -   
Argentina,ARG,1985, -   , -   , -   , -   
Argentina,ARG,1986, -   , -   , -   , -   
Argentina,ARG,1987, -   , -   , -   , -   
Argentina,ARG,1988, -   , -   , -   , -   
Argentina,ARG,1989, -   , -   , -   , -   
Argentina,ARG,1990, -   , -   , -   , -   
Argentina,ARG,1991, -   , -   , -   , -   
Argentina,ARG,1992, -   , -   , -   , -   
